""	"OTU1"	"OTU2"	"OTU3"	"OTU4"	"OTU5"	"OTU6"	"OTU7"	"OTU8"	"OTU9"	"OTU10"	"OTU11"	"OTU12"	"OTU13"	"OTU14"	"OTU15"	"OTU16"	"OTU17"	"OTU18"	"OTU19"	"OTU20"	"OTU21"	"OTU22"	"OTU23"	"OTU24"	"OTU25"	"OTU26"	"OTU27"	"OTU28"	"OTU29"	"OTU30"	"OTU31"	"OTU32"	"OTU33"	"OTU34"	"OTU35"	"OTU36"	"OTU37"	"OTU38"	"OTU39"	"OTU40"	"OTU41"	"OTU42"	"OTU43"	"OTU44"	"OTU45"	"OTU46"	"OTU47"	"OTU48"	"OTU49"	"OTU50"	"OTU51"	"OTU52"	"OTU53"	"OTU54"	"OTU55"	"OTU56"	"OTU57"	"OTU58"	"OTU59"	"OTU60"	"OTU61"	"OTU62"	"OTU63"	"OTU64"	"OTU65"	"OTU66"	"OTU67"	"OTU68"	"OTU69"	"OTU70"	"OTU71"	"OTU72"	"OTU73"	"OTU74"	"OTU75"	"OTU76"	"OTU77"	"OTU78"	"OTU79"	"OTU80"	"OTU81"	"OTU82"	"OTU83"	"OTU84"	"OTU85"	"OTU86"	"OTU87"	"OTU88"	"OTU89"	"OTU90"	"OTU91"	"OTU92"	"OTU93"	"OTU94"	"OTU95"	"OTU96"	"OTU97"	"OTU98"	"OTU99"	"OTU100"	"OTU101"	"OTU102"	"OTU103"	"OTU104"	"OTU105"	"OTU106"	"OTU107"	"OTU108"	"OTU109"	"OTU110"	"OTU111"	"OTU112"	"OTU113"	"OTU114"	"OTU115"	"OTU116"	"OTU117"	"OTU118"	"OTU119"	"OTU120"	"OTU121"	"OTU122"	"OTU123"	"OTU124"	"OTU125"	"OTU126"	"OTU127"	"OTU128"
"283"	283	160	24	0	61	76	219	54	0	122	0	14	168	0	11	133	26	44	16	426	0	0	35	3	98	0	0	221	0	8	20	0	16	0	70	6	43	0	0	18	174	142	57	85	8	19	0	0	19	0	67	2	0	33	130	17	18	0	0	0	0	0	61	0	146	524	75	150	0	36	19	23	0	0	11	367	0	28	44	22	35	0	0	109	918	0	17	59	0	0	90	32	6	55	0	604	0	6	0	1	0	244	0	134	4	22	53	46	0	20	0	68	351	160	8	101	0	74	0	5	9	16	42	48	3	274	10	7
"284"	284	185	45	0	41	101	0	41	56	158	0	0	0	22	19	104	3	20	0	471	0	228	0	9	0	58	2	237	0	0	82	1	49	0	0	0	36	0	8	6	176	207	119	0	0	55	11	0	16	190	0	7	0	21	452	0	47	22	6	260	0	66	43	0	150	647	81	155	5	51	7	0	52	240	0	317	0	45	18	44	0	19	25	83	764	0	0	118	156	0	1176	20	11	67	12	474	8	0	0	1	21	0	418	133	2	22	38	34	0	66	39	103	422	289	15	0	20	63	262	0	16	0	17	61	0	0	0	0
"285"	285	163	13	0	35	87	278	51	84	131	13	6	0	0	31	209	7	10	22	357	0	0	32	0	138	15	0	174	0	0	41	0	55	0	0	0	0	0	16	24	0	194	34	54	0	39	17	16	30	0	94	0	33	31	2586	62	36	4	0	315	0	149	0	48	130	550	0	225	6	54	5	18	0	0	6	374	0	24	13	0	72	38	0	0	734	0	25	59	0	0	3820	0	5	0	40	566	0	13	0	3	0	326	342	168	0	38	0	0	89	0	58	42	346	119	100	105	16	0	176	0	0	0	36	171	35	185	14	9
"286"	286	138	17	132	32	90	524	0	0	208	13	9	44	18	0	122	25	24	0	618	5	0	60	0	63	0	21	245	0	0	30	2	0	145	0	8	44	6	17	0	0	174	62	0	0	0	0	21	54	137	88	0	0	0	188	67	44	0	0	318	0	50	39	67	176	449	0	142	0	33	0	37	0	0	0	331	19	29	8	33	18	0	0	64	822	0	0	66	0	0	14027	29	0	20	37	492	29	0	55	0	60	266	0	138	0	13	11	44	0	0	34	0	388	84	1	110	13	64	0	56	2	20	0	98	17	235	11	0
"287"	287	142	0	131	0	79	337	36	0	0	17	3	0	44	0	137	1	0	22	441	0	0	42	0	72	19	31	153	73	11	0	2	48	0	0	15	36	5	0	15	0	148	0	0	6	31	0	0	27	169	72	3	43	14	2191	76	0	0	4	309	15	0	79	35	131	505	133	153	11	22	14	0	25	139	8	337	8	23	44	0	31	0	0	81	778	41	0	37	0	0	2686	32	4	40	39	533	0	1	0	3	32	386	0	140	0	0	140	80	1	0	19	126	433	0	9	124	15	82	261	159	0	0	0	65	0	207	9	9
"288"	288	142	28	0	34	87	0	34	39	0	22	0	67	6	0	129	9	0	21	365	9	188	46	8	158	0	0	263	25	0	57	0	30	49	38	21	0	8	21	16	125	160	54	42	0	0	0	0	34	133	48	1	37	22	2512	104	37	26	15	278	0	0	46	26	220	638	0	192	0	44	0	14	109	164	14	328	0	61	0	27	22	69	0	0	681	24	0	107	22	0	8825	0	0	19	48	519	0	0	29	0	20	0	337	166	1	25	29	37	0	104	0	0	418	0	1	0	14	0	0	0	1	49	54	0	0	304	1	0
"289"	289	119	20	0	0	62	113	26	28	123	9	0	0	0	0	185	3	148	0	462	0	0	85	3	101	0	49	245	38	0	0	4	12	0	52	18	65	14	0	7	0	153	29	0	24	85	9	7	23	0	28	2	31	2	206	57	30	13	0	341	0	0	44	0	183	446	93	0	0	44	16	25	29	125	23	337	6	67	0	12	13	0	0	0	0	26	13	69	0	3	2132	0	4	87	38	564	6	0	0	1	0	0	296	148	1	27	21	27	2	57	0	117	319	142	6	175	0	68	256	0	0	32	40	86	0	277	6	2
"290"	1	204	21	0	52	93	0	28	62	150	0	12	0	30	0	129	0	92	51	0	10	0	82	0	0	6	0	212	0	0	40	0	30	0	0	0	23	0	44	22	140	79	31	88	9	41	12	0	25	0	0	2	0	14	28	27	57	0	18	274	28	46	59	53	161	476	99	156	0	43	0	20	43	0	14	342	5	56	0	46	0	57	1	155	0	0	0	35	76	0	4845	17	15	45	52	482	12	0	0	0	0	0	399	119	3	0	40	28	0	83	20	100	399	269	3	118	17	132	231	0	0	7	0	42	0	237	0	0
"291"	2	145	0	0	31	67	214	35	17	159	0	0	52	36	0	138	0	23	0	0	24	0	35	2	0	26	10	342	51	38	45	2	27	0	42	25	0	0	0	6	0	163	37	0	13	0	15	0	29	136	90	4	32	0	1018	28	38	0	0	314	0	109	62	47	193	461	93	252	1	0	7	0	64	0	18	331	0	24	0	16	10	0	0	0	642	0	0	46	233	0	1364	0	0	31	29	519	9	0	0	0	60	241	0	126	51	32	0	30	0	54	4	0	343	212	33	110	15	126	241	0	0	0	81	127	0	246	6	0
"292"	3	94	46	175	33	0	0	34	0	0	0	0	0	28	28	166	10	9	0	635	28	137	55	0	70	50	0	264	44	2	38	4	28	109	0	0	32	18	11	0	143	194	68	97	18	18	16	6	13	151	104	5	59	32	138	0	0	0	0	262	38	41	81	0	0	388	97	159	6	59	0	27	57	0	0	374	14	0	44	36	0	49	0	75	0	19	0	82	0	8	3430	0	5	77	50	520	27	19	47	0	0	317	0	171	4	31	0	0	0	25	17	0	374	104	26	95	11	50	271	0	0	0	0	55	27	0	8	19
"293"	4	197	0	0	56	92	157	52	68	157	0	10	10	0	10	116	0	15	23	487	15	0	144	11	146	1	0	332	52	0	56	1	45	153	69	27	48	10	18	18	0	174	0	69	0	0	13	0	28	0	0	6	0	7	75	48	0	0	0	294	50	0	46	0	187	578	97	157	0	32	9	5	96	99	10	291	9	50	27	9	59	0	0	0	799	0	31	44	38	0	2440	0	1	61	72	504	0	0	0	0	0	0	346	142	0	79	0	51	49	24	23	0	406	203	11	102	0	104	0	0	0	19	83	139	0	292	3	5
"294"	5	132	27	0	37	81	0	35	0	170	25	0	0	34	32	148	4	0	35	258	30	0	0	1	82	0	55	297	12	0	91	19	49	183	40	8	54	6	8	15	114	120	0	77	11	19	10	6	39	0	0	6	0	21	395	0	11	14	0	313	0	0	0	66	179	533	91	234	0	52	11	26	55	178	25	357	0	18	34	23	0	0	0	121	766	58	0	47	0	0	5100	0	11	30	60	498	0	10	31	5	48	244	328	111	11	50	0	59	14	59	17	53	453	200	6	0	0	105	0	0	0	32	0	88	27	213	13	0
"295"	6	178	36	0	65	92	0	19	0	164	3	4	0	17	13	0	8	28	67	299	7	241	0	0	102	4	0	240	0	11	46	3	16	0	0	37	0	11	0	23	0	205	50	97	13	47	16	0	28	158	48	4	0	33	562	30	0	14	18	335	20	0	58	26	0	523	0	142	0	32	0	0	0	0	0	328	11	43	0	13	0	18	7	141	0	0	14	46	0	9	6497	0	10	0	60	528	21	36	24	0	24	0	260	137	27	41	45	52	0	116	16	71	401	152	5	0	18	78	0	18	5	0	57	110	0	0	24	9
"296"	7	122	53	179	0	0	178	40	45	119	11	0	0	9	18	0	1	0	0	0	0	123	77	6	101	20	0	280	0	0	29	0	27	0	108	13	90	40	0	10	152	0	35	85	0	61	7	14	40	113	98	1	47	21	94	34	25	12	7	269	0	86	47	49	162	430	115	276	10	38	0	22	0	161	31	320	0	60	16	0	0	0	3	144	970	11	24	51	0	0	2338	34	37	53	49	528	0	0	0	0	37	301	267	126	0	24	53	36	0	116	0	96	445	0	0	118	14	81	303	0	13	38	44	97	0	267	6	3
"297"	8	131	42	154	37	86	146	25	0	170	0	0	63	2	5	136	0	38	23	226	0	178	38	0	87	12	9	201	48	0	53	2	43	0	52	0	0	1	32	9	0	0	0	0	0	58	13	9	0	0	28	4	54	17	93	0	0	29	0	279	43	69	39	29	135	494	0	150	0	0	13	0	0	0	0	339	0	46	19	12	0	46	0	0	700	0	13	62	0	0	1759	8	14	28	14	576	0	8	0	0	33	176	235	141	4	28	43	51	0	0	19	0	339	229	19	113	0	102	0	0	0	0	0	107	0	218	0	0
"298"	9	229	0	0	63	100	284	50	80	0	0	0	0	0	0	151	3	0	56	218	20	0	33	0	123	0	0	234	0	1	28	7	85	0	0	36	63	11	24	24	158	167	0	0	0	34	15	0	23	88	75	7	72	19	504	20	0	0	5	333	20	0	50	28	194	539	109	181	0	16	0	17	58	112	14	305	17	0	75	17	22	34	0	122	0	27	9	61	52	12	3851	24	20	30	17	591	28	15	0	6	0	313	289	145	9	14	30	53	0	18	14	0	338	0	13	113	13	149	0	0	51	27	56	97	21	0	30	0
"299"	10	0	55	162	0	79	0	42	0	150	16	0	1126	14	5	107	4	55	0	362	0	0	38	0	0	22	23	272	0	0	0	2	59	117	51	14	0	14	49	17	0	0	72	82	11	47	18	0	45	0	84	5	0	26	916	0	5	13	0	306	0	57	46	0	149	589	93	176	4	0	2	6	51	209	7	351	10	49	36	8	9	36	0	141	0	25	26	39	58	4	4044	0	7	50	13	538	18	10	24	3	37	396	0	121	7	28	87	0	49	75	18	114	365	106	0	0	18	108	0	18	11	47	35	68	26	222	0	12
"300"	11	142	36	212	32	98	0	38	13	154	3	1	0	18	0	181	14	0	0	0	0	133	56	0	83	0	0	168	0	0	71	2	39	143	0	35	64	0	32	20	95	118	59	78	13	72	15	15	0	157	81	9	31	0	2062	53	75	15	6	246	39	61	56	0	153	659	92	141	1	18	7	0	0	149	6	304	14	26	6	18	43	0	0	194	997	0	6	34	145	4	648	26	12	56	24	498	0	0	13	0	0	321	276	118	1	36	0	69	0	66	16	0	380	0	0	0	7	202	0	4	0	25	41	128	28	0	0	6
"301"	12	0	30	139	21	77	0	23	51	0	4	0	0	0	0	132	0	0	0	393	12	0	38	0	78	0	0	199	0	11	46	0	23	0	76	7	67	0	0	17	88	123	67	56	23	56	7	0	23	182	0	5	20	31	1952	54	23	24	0	260	0	61	43	64	178	464	102	230	0	134	14	0	0	0	5	310	12	18	0	32	0	0	24	134	0	32	6	30	86	0	3796	0	28	36	0	484	20	1	0	1	14	0	367	141	0	31	0	34	0	0	13	39	330	0	4	126	13	0	221	0	13	0	0	89	12	242	12	6
"302"	13	107	40	82	52	84	121	28	0	118	0	1	0	0	20	175	0	7	0	382	0	0	58	0	111	35	18	177	34	0	52	3	36	154	0	4	0	12	0	19	118	0	31	52	0	57	9	0	22	160	72	3	59	0	403	35	36	17	29	300	35	0	47	89	147	400	120	150	0	45	8	0	30	73	20	365	8	21	0	32	0	23	105	102	793	14	10	58	67	0	3909	15	18	25	55	517	16	0	0	0	0	294	0	151	0	83	30	0	12	35	32	0	389	0	24	0	10	96	0	0	7	49	0	85	0	276	18	0
"303"	14	0	36	73	0	0	119	0	5	0	0	0	0	10	0	166	25	18	22	403	0	0	53	16	50	30	0	223	0	0	0	2	39	136	102	0	0	10	17	19	129	165	62	106	15	56	0	12	59	0	102	0	22	0	2017	0	24	11	18	254	43	99	36	0	137	594	94	0	0	52	0	42	38	122	12	401	10	46	27	0	15	0	0	109	0	0	10	93	132	7	4470	0	18	47	39	520	5	0	0	0	0	246	0	133	9	20	38	13	20	26	22	0	396	157	5	143	0	140	274	0	1	58	89	65	0	0	9	1
"304"	15	124	45	0	26	91	94	29	0	173	29	0	0	0	0	167	0	43	0	326	14	106	48	9	0	17	28	274	39	14	60	0	35	155	82	3	30	5	12	22	145	106	0	114	7	48	0	0	0	163	67	7	0	32	650	30	24	21	16	251	16	0	63	27	197	497	60	0	3	62	17	0	61	0	4	348	13	45	0	0	43	0	85	102	0	39	16	98	0	5	2575	43	0	20	0	520	10	5	54	0	0	354	0	134	0	45	35	0	25	0	19	70	441	0	20	152	17	104	225	25	0	12	62	95	22	220	0	0
"305"	16	142	25	227	26	77	271	41	96	0	8	0	0	0	20	137	1	0	0	335	4	199	55	0	97	29	0	277	0	0	54	3	24	0	0	10	0	9	0	0	162	119	61	0	10	68	11	0	0	0	0	3	80	29	515	60	25	0	0	261	61	0	61	0	0	0	0	185	0	40	34	0	143	0	0	317	12	28	0	0	11	0	4	95	795	26	25	66	14	5	9730	93	14	31	21	520	0	0	0	6	23	264	335	119	0	31	0	78	34	73	40	0	437	0	0	0	8	128	242	0	2	33	0	82	5	219	0	1
"306"	17	165	28	0	36	75	102	38	12	115	7	1	42	13	23	137	0	32	4	379	28	0	38	3	98	1	11	186	0	16	0	0	33	130	0	0	85	11	0	20	123	150	47	0	10	46	0	19	12	138	0	0	0	32	264	67	33	0	0	292	43	0	65	0	150	705	119	0	1	75	16	22	0	0	0	287	13	31	9	0	33	0	6	65	771	0	12	54	0	0	4668	16	48	0	29	515	0	0	0	14	7	0	0	126	0	39	0	0	16	158	3	45	316	151	0	104	15	169	230	0	12	14	39	103	25	275	3	5
"307"	18	150	12	0	46	77	100	29	60	0	0	0	0	0	29	110	7	123	0	0	0	0	47	11	99	14	29	169	37	40	65	1	51	0	115	11	0	5	1	0	138	86	56	65	10	78	0	6	0	196	53	3	43	47	81	0	24	0	0	265	0	31	44	24	149	462	118	0	0	39	0	10	82	97	20	370	14	64	7	8	24	28	2	0	781	0	0	76	0	14	5006	15	0	36	11	547	21	0	39	1	0	0	251	147	3	44	0	60	5	52	17	0	435	0	0	105	20	68	224	0	10	39	0	70	0	220	5	4
"308"	19	158	32	0	52	81	0	47	64	110	33	1	0	0	14	130	19	0	0	452	6	184	44	8	98	29	4	159	27	16	46	14	0	118	64	0	45	0	11	22	0	179	0	92	0	0	12	0	10	117	0	0	48	20	103	18	37	17	6	270	0	50	0	30	176	0	101	214	12	37	0	16	0	90	5	336	0	35	8	0	0	30	23	123	781	29	0	58	59	5	3244	0	16	49	0	539	0	0	0	0	12	0	248	114	2	25	45	59	0	29	0	93	367	0	75	61	0	158	288	0	0	0	44	69	21	207	10	0
"309"	20	206	0	0	55	75	0	39	43	0	0	0	0	0	12	142	0	23	61	348	16	0	0	4	84	0	50	271	37	3	35	12	44	0	0	0	0	0	44	4	115	135	44	0	7	75	0	13	0	127	44	0	133	28	222	44	9	22	24	350	0	0	47	37	171	631	111	190	8	30	8	35	65	120	11	301	16	15	87	0	13	19	192	81	896	0	20	49	103	0	1297	35	13	0	3	559	2	33	42	0	14	0	0	138	14	32	17	39	13	0	20	0	386	255	3	0	0	104	0	3	2	36	0	84	33	291	3	4
"310"	21	209	0	0	32	85	213	32	20	196	14	0	0	0	12	140	0	0	21	368	0	0	0	11	101	0	0	245	0	4	0	0	23	122	0	13	29	0	0	4	90	0	36	57	13	90	9	11	36	147	93	9	18	0	1047	0	44	0	0	265	26	79	38	47	198	589	140	118	0	44	0	17	0	89	32	316	0	0	0	0	1	35	0	0	724	0	0	58	148	0	8095	0	23	73	5	507	8	16	81	0	9	0	325	133	26	28	58	0	2	0	35	93	479	0	3	102	0	0	287	1	0	33	0	90	0	267	3	0
"311"	22	195	0	0	41	95	239	47	0	182	0	2	0	0	24	150	0	30	26	0	0	0	48	0	86	0	0	199	0	8	57	7	45	185	0	0	0	0	59	9	157	0	24	0	12	0	4	10	5	155	48	6	71	18	154	38	38	23	15	302	0	62	72	26	139	507	95	250	0	0	0	54	50	0	0	0	18	0	36	27	0	34	22	127	728	0	0	94	159	0	3087	0	20	23	24	490	0	14	28	0	39	0	322	118	13	42	0	0	4	12	34	66	352	0	0	66	22	113	0	30	27	22	73	137	16	268	11	8
"312"	23	0	63	0	24	70	0	35	62	138	60	0	4	0	22	190	2	0	0	0	0	0	0	0	82	92	30	0	0	17	62	1	0	0	144	29	0	0	0	16	127	0	0	88	14	35	4	6	12	0	60	3	0	21	310	78	83	21	0	264	0	46	56	25	0	453	127	195	0	42	20	40	72	198	0	381	0	51	0	15	10	0	0	136	0	22	0	0	0	0	1597	0	4	83	73	533	0	0	9	0	8	0	261	155	0	19	0	0	0	0	16	0	317	186	7	92	16	62	275	13	2	0	69	84	0	238	0	13
"313"	24	0	27	159	0	85	124	40	0	166	0	9	0	11	41	135	0	0	0	267	40	0	48	8	85	10	13	171	38	5	54	0	82	0	43	21	33	0	25	6	0	182	0	109	9	44	10	0	29	0	49	0	0	37	1946	21	49	0	1	306	0	0	54	0	147	521	99	174	8	38	27	0	0	0	7	356	27	32	42	24	0	28	0	0	772	26	19	49	71	3	10223	15	0	36	67	432	0	24	0	1	13	0	0	155	0	26	0	0	0	101	16	79	401	133	29	110	0	100	0	0	15	21	0	87	12	270	0	6
"314"	25	0	57	134	0	76	0	0	51	140	34	1	0	0	0	108	14	94	0	377	9	0	0	0	0	51	5	0	39	0	37	0	0	219	67	20	37	12	10	4	0	0	0	0	19	100	9	0	11	0	0	4	103	16	230	70	56	0	14	219	68	84	65	31	177	399	0	199	50	0	5	0	0	127	0	409	0	0	0	15	0	0	0	89	873	0	0	51	35	0	10875	32	12	30	31	495	12	0	13	0	11	386	0	144	0	0	0	49	0	0	0	42	402	71	6	124	0	95	183	0	0	0	43	96	6	234	0	2
"315"	26	148	29	0	32	90	127	46	0	167	0	3	0	0	0	157	0	19	23	467	0	0	0	35	98	22	14	288	0	0	73	2	0	139	0	0	0	1	0	13	103	123	0	0	20	55	14	1	23	0	0	2	0	22	409	0	31	0	21	268	0	17	43	0	171	654	122	178	7	27	0	0	0	164	0	313	0	38	77	30	59	0	11	87	648	46	9	0	57	0	1805	11	5	47	20	470	0	14	0	0	0	0	0	122	9	0	0	42	18	0	16	73	394	161	10	80	15	38	212	0	3	26	0	105	0	192	15	8
"316"	27	107	35	142	59	72	123	50	86	128	6	1	0	27	0	135	7	132	0	356	7	171	0	0	94	5	0	145	0	7	32	4	38	156	96	12	48	5	21	0	132	147	0	108	0	27	10	0	10	137	70	5	75	0	8	0	52	13	0	212	19	85	47	0	211	512	107	166	3	0	13	10	19	0	11	322	21	19	0	0	1	36	0	90	813	28	0	58	94	0	3837	18	7	59	0	565	23	0	0	0	20	0	0	128	0	32	0	31	23	33	0	0	367	198	0	99	14	0	313	3	8	33	53	149	0	191	12	0
"317"	28	0	50	67	0	83	0	35	147	0	144	1	52	23	22	162	0	9	0	352	16	0	84	0	0	56	0	124	0	23	29	5	0	128	89	0	38	34	6	4	135	134	0	97	14	65	0	11	24	0	47	0	86	53	3045	0	17	6	0	268	39	87	36	0	137	549	81	167	0	36	24	0	0	76	6	370	12	21	0	0	21	57	0	105	801	33	22	46	49	1	3580	0	30	0	22	492	22	0	6	0	0	290	379	92	3	35	0	47	0	0	0	80	347	81	0	0	0	123	307	0	0	3	0	103	0	211	0	27
"318"	29	216	0	195	47	89	257	24	0	243	18	4	0	23	0	130	2	0	41	439	0	0	34	0	0	3	0	194	0	0	30	0	62	159	54	0	23	20	19	5	0	175	0	65	7	31	0	0	15	0	147	1	47	45	82	21	12	0	11	323	0	0	45	25	0	645	78	166	15	78	0	0	61	130	0	256	0	41	19	43	45	0	19	152	0	0	19	52	33	16	146	48	0	39	0	505	10	22	0	6	35	0	471	113	1	46	0	10	14	56	0	63	407	185	3	183	8	119	0	0	24	0	0	134	5	211	0	0
"319"	30	0	53	113	0	0	0	0	141	131	23	0	0	0	11	165	0	0	0	340	0	155	61	5	76	0	34	202	0	4	48	13	0	0	69	5	38	0	14	10	133	174	0	95	7	65	7	0	0	0	62	3	0	49	788	0	33	0	4	283	51	150	72	29	123	358	82	152	4	0	16	27	42	142	0	359	15	53	45	29	0	40	0	0	0	0	9	31	28	0	8105	13	0	32	0	576	17	0	0	0	8	305	267	86	9	41	0	26	1	0	10	58	373	0	0	0	0	100	0	0	8	0	0	83	0	312	0	0
"320"	31	104	43	0	0	0	189	30	69	129	0	0	4	15	31	182	3	0	0	346	6	0	70	3	0	28	24	177	55	0	43	0	18	112	47	0	31	13	11	15	161	115	48	91	10	55	17	1	13	122	80	1	65	61	4	28	0	19	30	232	0	0	48	57	157	420	0	182	0	132	0	21	24	183	0	373	21	41	0	26	6	0	0	0	922	0	0	95	115	27	6598	3	25	52	21	522	0	50	13	0	37	373	347	142	10	38	90	141	0	32	11	0	372	0	0	0	17	60	240	0	4	31	39	0	0	183	5	2
"321"	32	124	34	0	26	70	238	36	0	0	11	0	0	24	0	107	0	77	25	373	14	0	0	0	93	77	40	225	45	0	51	16	35	168	63	0	37	0	19	2	0	127	72	63	14	72	11	0	0	133	100	0	91	43	1579	56	84	0	0	0	38	85	39	0	138	577	139	236	5	52	21	0	38	98	8	340	19	22	34	11	25	29	62	106	776	52	45	70	39	16	3348	0	35	55	43	494	24	0	0	0	38	0	286	137	6	0	0	32	0	81	23	0	470	0	25	78	14	68	262	30	0	0	48	96	0	270	30	10
"322"	33	182	30	0	53	91	233	33	0	0	0	11	0	21	0	193	0	0	6	0	0	0	47	0	103	9	0	286	0	11	50	1	46	116	45	0	82	0	10	8	116	131	48	0	0	77	8	10	41	0	81	3	21	35	898	0	14	0	0	284	0	69	59	67	0	556	155	164	9	30	7	14	49	0	18	265	19	15	0	0	28	14	1	112	866	43	0	67	0	22	4284	17	13	21	50	504	23	0	25	0	2	0	0	131	4	21	22	63	0	0	18	0	398	230	17	142	0	81	0	0	0	34	72	120	16	306	3	2
"323"	34	109	35	0	29	0	378	29	0	0	17	9	123	13	18	174	1	48	0	445	13	215	0	8	86	59	0	0	0	18	44	5	24	150	65	31	54	0	36	26	130	219	69	84	12	85	13	0	0	186	40	9	0	23	490	0	57	14	0	334	0	29	43	8	150	614	0	219	3	68	9	35	0	184	7	255	14	55	0	28	0	0	4	0	814	0	0	33	41	0	3145	19	4	48	112	505	15	0	15	0	37	269	0	106	0	23	93	52	66	9	25	91	443	0	36	75	10	132	240	0	0	27	0	0	19	254	3	0
"324"	35	136	15	146	0	83	0	27	0	164	0	0	0	0	24	169	0	26	0	463	0	106	110	0	90	14	0	236	0	7	41	0	49	0	71	16	42	11	0	0	115	167	56	77	15	44	6	0	18	0	27	0	56	33	2	48	36	16	0	332	0	97	0	0	120	422	127	195	0	17	11	24	0	97	0	328	0	0	75	20	39	0	0	116	719	18	21	53	75	0	1712	0	31	71	48	494	0	0	0	0	0	270	283	215	16	80	55	25	32	62	21	0	407	0	7	0	16	134	299	11	0	0	39	107	0	205	0	9
"325"	36	0	42	231	24	77	89	34	0	0	0	5	6	9	0	123	4	15	0	215	11	230	49	0	87	4	0	244	0	0	54	0	17	203	102	2	0	3	0	8	134	216	0	70	12	49	0	0	24	0	71	0	0	39	1764	0	16	0	8	267	21	103	48	0	152	576	142	191	1	0	15	11	38	202	0	284	13	24	11	38	20	34	0	113	0	44	1	49	0	0	7332	0	17	35	18	506	15	8	24	0	0	0	0	144	0	25	105	27	0	0	49	64	390	124	14	0	21	67	242	0	6	21	18	0	0	235	2	0
"326"	37	0	14	0	0	76	158	0	5	144	14	18	0	15	25	169	0	46	0	252	5	0	45	7	145	27	41	201	0	4	64	0	42	0	0	0	23	0	10	11	0	171	55	52	9	0	8	17	0	143	0	4	49	23	40	0	39	12	0	303	53	77	27	0	133	589	0	218	3	12	0	14	0	107	21	384	0	31	0	0	74	0	4	98	744	0	0	47	188	8	5806	38	25	29	23	486	0	29	0	0	0	0	227	143	0	32	30	78	0	93	27	0	377	197	5	102	0	66	210	0	25	19	99	83	0	252	0	3
"327"	38	0	39	153	26	65	0	0	0	0	29	0	10	16	0	132	1	0	0	524	17	163	0	15	0	0	26	159	0	17	72	0	0	0	57	12	75	25	33	10	141	116	67	0	0	54	0	6	31	0	54	0	90	16	1063	0	46	31	0	265	37	53	44	95	0	558	0	167	3	0	0	0	169	120	24	333	8	0	49	11	0	0	0	84	689	0	28	0	0	1	11619	0	0	81	107	540	13	5	0	0	0	0	247	146	4	36	0	48	0	65	0	0	451	0	8	0	12	82	279	0	0	11	35	98	0	206	0	15
"328"	39	0	41	0	0	0	99	21	76	0	5	7	0	18	0	161	0	0	0	427	0	211	0	0	0	22	46	258	53	32	0	5	0	0	120	0	26	0	62	0	127	99	0	0	10	0	0	5	9	114	45	0	0	0	25	0	19	0	2	0	0	124	55	48	162	421	0	139	0	41	41	8	53	0	25	384	15	60	0	18	0	38	42	113	925	21	0	58	26	0	2346	42	22	49	89	475	16	4	6	9	28	257	0	161	2	33	0	0	0	79	11	83	391	0	62	0	0	0	262	73	12	7	53	81	0	0	4	3
"329"	40	115	41	0	31	75	0	30	87	164	11	1	48	16	10	139	4	0	17	352	7	0	56	0	67	10	19	183	39	5	31	5	68	113	137	0	55	6	0	26	0	168	48	74	19	55	9	11	0	160	64	3	0	27	225	0	24	63	18	246	54	89	47	0	0	465	101	162	0	44	16	13	94	69	0	376	7	52	28	22	40	20	0	0	870	15	0	57	0	11	6635	30	0	37	59	490	0	0	34	0	15	0	0	158	14	33	48	0	112	55	33	0	379	0	32	77	17	0	265	0	0	23	96	87	12	217	3	5
"330"	41	130	53	194	23	57	0	30	0	130	18	2	0	24	0	0	1	17	19	215	21	0	0	12	75	9	0	164	0	10	80	0	0	0	107	0	33	16	14	13	102	130	0	63	7	49	0	16	11	94	40	7	0	47	3118	47	36	23	0	279	49	0	37	21	180	564	134	178	1	67	0	25	67	74	19	377	6	51	55	0	27	0	0	112	688	0	0	66	0	13	1006	31	13	39	0	485	12	1	23	1	0	376	313	141	1	29	42	61	17	21	0	116	411	86	0	0	0	63	0	0	17	0	76	0	0	219	0	9
"331"	42	122	17	0	0	86	188	22	83	0	5	4	0	14	55	124	0	13	0	439	32	0	0	0	91	130	23	189	24	53	29	1	23	0	74	0	47	8	4	10	121	172	37	0	10	40	0	0	19	0	76	2	65	22	321	66	16	0	4	237	46	66	48	30	140	385	0	174	0	55	0	0	15	49	0	345	0	42	38	17	0	36	2	101	783	29	8	36	32	0	4603	27	14	0	0	589	13	0	0	0	0	0	382	116	16	28	0	22	15	12	21	0	384	167	56	102	7	120	0	0	13	30	49	90	39	241	4	0
"332"	43	145	0	0	34	80	80	33	50	156	0	9	0	15	35	129	1	21	0	296	20	179	47	3	76	37	29	228	39	0	49	0	51	0	0	0	84	9	15	21	135	150	28	0	0	51	0	0	8	141	60	6	0	24	406	63	23	0	0	285	26	0	62	0	188	613	0	180	3	17	0	27	41	114	11	372	22	83	0	0	4	36	20	144	622	50	0	61	0	0	1897	0	11	45	56	495	15	0	34	0	36	0	278	120	22	29	53	71	21	19	6	0	463	78	14	85	26	125	0	0	0	13	0	107	0	0	27	1
